Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 37.89     42.21    42.21    17940     0.00     0.01  YOLODetector::detectObjects(cv::Mat&)
 22.06     66.79    24.58 3465819800     0.00     0.00  cv::Mat::ptr(int, int, int) const
 10.89     78.92    12.13 3767155348     0.00     0.00  cv::MatSize::operator[](int) const
 10.88     91.04    12.12 3465819800     0.00     0.00  cv::Mat::elemSize() const
  8.74    100.78     9.73 3465819800     0.00     0.00  float const& cv::Mat::at<float>(int, int, int) const
  6.80    108.34     7.57 3767155348     0.00     0.00  cv::MatSize::dims() const
  1.23    109.72     1.37    17940     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::operator*() const
  1.20    111.06     1.34        3     0.45     0.45  cv::_InputOutputArray::_InputOutputArray(cv::Mat&)
  0.11    111.18     0.12    18598     0.00     0.00  std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::push_back(cv::Rect_<int>&&)
  0.03    111.21     0.03        2     0.01     0.01  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.02    111.23     0.03     9574     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.02    111.25     0.02   223185     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_M_get_Tp_allocator()
  0.01    111.27     0.01    71760     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >::base() const
  0.01    111.28     0.01    71760     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::vector()
  0.01    111.28     0.01    53820     0.00     0.00  cvision::Frame::Frame()
  0.01    111.30     0.01    49050     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.01    111.31     0.01    17946     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.01    111.31     0.01    17940     0.00     0.00  YOLOModel::getNet()
  0.01    111.33     0.01    17940     0.00     0.00  std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::~vector()
  0.01    111.33     0.01     8764     0.00     0.00  cvision::Detection::Detection(cvision::Detection const&)
  0.01    111.34     0.01        1     0.01   110.00  cvision::detect(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00    111.35     0.01   107652     0.00     0.00  cv::_InputArray::init(int, void const*)
  0.00    111.36     0.01    76564     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00    111.36     0.01    38296     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00    111.36     0.01    35884     0.00     0.00  cv::_OutputArray::~_OutputArray()
  0.00    111.37     0.01    35880     0.00     0.00  bool __gnu_cxx::operator!=<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > >(__gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&, __gnu_cxx::__normal_iterator<cv::Mat*, std::vector<cv::Mat, std::allocator<cv::Mat> > > const&)
  0.00    111.38     0.01    19148     0.00     0.00  std::vector<float, std::allocator<float> >::_S_relocate(float*, float*, float*, std::allocator<float>&)
  0.00    111.38     0.01    17946     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00    111.39     0.01    17946     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::~_Guard()
  0.00    111.39     0.01    17941     0.00     0.00  cv::_OutputArray::_OutputArray(cv::Mat&)
  0.00    111.39     0.01    17940     0.00     0.00  std::vector<cv::Mat, std::allocator<cv::Mat> >::end()
  0.00    111.40     0.01                             std::__cxx11::stof(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*)
  0.00    111.40     0.00   225811     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00    111.40     0.00   221525     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00    111.40     0.00   206749     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00    111.40     0.00   201183     0.00     0.00  operator new(unsigned long, void*)
  0.00    111.40     0.00   196932     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >::base() const
  0.00    111.40     0.00   180450     0.00     0.00  std::__new_allocator<cvision::Detection>::~__new_allocator()
  0.00    111.40     0.00   179594     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >::__normal_iterator(cvision::Detection const* const&)
  0.00    111.40     0.00   164606     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00    111.40     0.00   162429     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl_data::_Vector_impl_data()
  0.00    111.40     0.00   145184     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00    111.40     0.00   144529     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00    111.40     0.00   130569     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_M_deallocate(cvision::Detection*, unsigned long)
  0.00    111.40     0.00   128331     0.00     0.00  void std::_Destroy_aux<false>::__destroy<cvision::Detection*>(cvision::Detection*, cvision::Detection*)
  0.00    111.40     0.00   128331     0.00     0.00  void std::_Destroy<cvision::Detection*>(cvision::Detection*, cvision::Detection*)
  0.00    111.40     0.00   126819     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00    111.40     0.00   126243     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl::~_Vector_impl()
  0.00    111.40     0.00   126243     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::~_Vector_base()
  0.00    111.40     0.00   126243     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::~vector()
  0.00    111.40     0.00   118520     0.00     0.00  cv::Rect_<int>&& std::forward<cv::Rect_<int> >(std::remove_reference<cv::Rect_<int> >::type&)
  0.00    111.40     0.00   111378     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00    111.40     0.00   109386     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl_data const&)
  0.00    111.40     0.00   108722     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00    111.40     0.00   108117     0.00     0.00  cvision::Frame* std::__addressof<cvision::Frame>(cvision::Frame&)
  0.00    111.40     0.00    96660     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::size() const
  0.00    111.40     0.00    90072     0.00     0.00  cvision::Frame::~Frame()
  0.00    111.40     0.00    89797     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::end() const
  0.00    111.40     0.00    89797     0.00     0.00  std::vector<cvision::Detection, std::allocator<cvision::Detection> >::begin() const
  0.00    111.40     0.00    89795     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00    111.40     0.00    87154     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00    111.40     0.00    86578     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<int const*, int const*>(int const*, int const*) const
  0.00    111.40     0.00    86578     0.00     0.00  std::initializer_list<int>::begin() const
  0.00    111.40     0.00    82309     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00    111.40     0.00    79728     0.00     0.00  cv::Rect_<int>* std::__addressof<cv::Rect_<int> >(cv::Rect_<int>&)
  0.00    111.40     0.00    72360     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Detection*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >::base() const
  0.00    111.40     0.00    71766     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Frame const*, std::vector<cvision::Frame, std::allocator<cvision::Frame> > >::base() const
  0.00    111.40     0.00    71765     0.00     0.00  cv::_InputArray::~_InputArray()
  0.00    111.40     0.00    71765     0.00     0.00  cv::Size_<int>::Size_()
  0.00    111.40     0.00    71760     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl::_Vector_impl()
  0.00    111.40     0.00    71760     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_base()
  0.00    111.40     0.00    66648     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00    111.40     0.00    66648     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*() const
  0.00    111.40     0.00    66410     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00    111.40     0.00    64674     0.00     0.00  bool __gnu_cxx::operator!=<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > > const&, __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > > const&)
  0.00    111.40     0.00    63409     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00    111.40     0.00    62220     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00    111.40     0.00    62220     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00    111.40     0.00    62220     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00    111.40     0.00    62220     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
  0.00    111.40     0.00    60159     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00    111.40     0.00    58685     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00    111.40     0.00    58685     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00    111.40     0.00    58685     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00    111.40     0.00    58685     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00    111.40     0.00    58685     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00    111.40     0.00    58683     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_M_get_Tp_allocator() const
  0.00    111.40     0.00    57444     0.00     0.00  cv::Rect_<int>* std::__niter_base<cv::Rect_<int>*>(cv::Rect_<int>*)
  0.00    111.40     0.00    57444     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00    111.40     0.00    56862     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00    111.40     0.00    56344     0.00     0.00  __gnu_cxx::__normal_iterator<cv::Rect_<int>*, std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > > >::__normal_iterator(cv::Rect_<int>* const&)
  0.00    111.40     0.00    55389     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00    111.40     0.00    55389     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long, void const*)
  0.00    111.40     0.00    54207     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_Vector_impl::_Vector_impl(std::allocator<cvision::Detection> const&)
  0.00    111.40     0.00    53916     0.00     0.00  void std::_Destroy<cvision::Frame>(cvision::Frame*)
  0.00    111.40     0.00    52032     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Detection*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >::__normal_iterator(cvision::Detection* const&)
  0.00    111.40     0.00    46770     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00    111.40     0.00    45174     0.00     0.00  std::remove_reference<cv::Rect_<int>&>::type&& std::move<cv::Rect_<int>&>(cv::Rect_<int>&)
  0.00    111.40     0.00    43289     0.00     0.00  __gnu_cxx::__ops::__iter_less_iter()
  0.00    111.40     0.00    43289     0.00     0.00  std::initializer_list<int>::end() const
  0.00    111.40     0.00    43289     0.00     0.00  std::initializer_list<int>::size() const
  0.00    111.40     0.00    43289     0.00     0.00  int const* std::__min_element<int const*, __gnu_cxx::__ops::_Iter_less_iter>(int const*, int const*, __gnu_cxx::__ops::_Iter_less_iter)
  0.00    111.40     0.00    43289     0.00     0.00  int std::min<int>(std::initializer_list<int>)
  0.00    111.40     0.00    40302     0.00     0.00  std::_Vector_base<cvision::Detection, std::allocator<cvision::Detection> >::_M_allocate(unsigned long)
  0.00    111.40     0.00    40290     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00    111.40     0.00    40178     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00    111.40     0.00    40178     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
